"","Year","Rk","Date","G.","Age","Tm","Opp","Result","GS","Cmp","Att","Cmp.","Yds","TD","Int","Rate","Sk","Yds.1","Y.A","AY.A","X","WonLost","AvgRate","AgeBin"
"1",2001,1,"1/19/2002",17,24.169,"NWE","OAK","W 16-13","*",32,52,61.54,312,0,1,70.4,2,15,6,5.13,NA,"W",80.3,1
"2",2001,2,"1/27/2002",18,24.177,"NWE","PIT","W 24-17","*",12,18,66.67,115,0,0,84.3,2,14,6.39,6.39,NA,"W",80.3,1
"3",2001,3,"2/3/2002",19,24.184,"NWE","STL","W 20-17","*",16,27,59.26,145,1,0,86.2,1,7,5.37,6.11,NA,"W",80.3,1
"4",2003,4,"1/10/2004",17,26.16,"NWE","TEN","W 17-14","*",21,41,51.22,201,1,0,73.3,0,0,4.9,5.39,NA,"W",83.3,1
"5",2003,5,"1/18/2004",18,26.168,"NWE","IND","W 24-14","*",22,37,59.46,237,1,1,76.1,0,0,6.41,5.73,NA,"W",83.3,1
"6",2003,6,"2/1/2004",19,26.182,"NWE","CAR","W 32-29","*",32,48,66.67,354,3,1,100.5,0,0,7.38,7.69,NA,"W",83.3,1
"7",2004,7,"1/16/2005",17,27.166,"NWE","IND","W 20-3","*",18,27,66.67,144,1,0,92.2,3,29,5.33,6.07,NA,"W",110.966666666667,1
"8",2004,8,"1/23/2005",18,27.173,"NWE","PIT","W 41-27","*",14,21,66.67,207,2,0,130.5,2,11,9.86,11.76,NA,"W",110.966666666667,1
"9",2004,9,"2/6/2005",19,27.187,"NWE","PHI","W 24-21","*",23,33,69.7,236,2,0,110.2,2,17,7.15,8.36,NA,"W",110.966666666667,1
"10",2005,10,"1/7/2006",17,28.157,"NWE","JAX","W 28-3","*",15,27,55.56,201,3,0,116.4,4,12,7.44,9.67,NA,"W",95.2,1
"11",2005,11,"1/14/2006",18,28.164,"NWE","DEN","L 13-27","*",20,36,55.56,341,1,2,74,0,0,9.47,7.53,NA,"L",95.2,1
"12",2006,12,"1/7/2007",17,29.157,"NWE","NYJ","W 37-16","*",22,34,64.71,212,2,0,101.6,1,12,6.24,7.41,NA,"W",79.5666666666667,1
"13",2006,13,"1/14/2007",18,29.164,"NWE","SDG","W 24-21","*",27,51,52.94,280,2,3,57.6,2,4,5.49,3.63,NA,"W",79.5666666666667,1
"14",2006,14,"1/21/2007",19,29.171,"NWE","IND","L 34-38","*",21,34,61.76,232,1,1,79.5,1,6,6.82,6.09,NA,"L",79.5666666666667,1
"15",2007,15,"1/12/2008",17,30.162,"NWE","JAX","W 31-20","*",26,28,92.86,262,3,0,141.4,1,4,9.36,11.5,NA,"W",96.7666666666667,2
"16",2007,16,"1/20/2008",18,30.17,"NWE","SDG","W 21-12","*",22,33,66.67,209,2,3,66.4,2,11,6.33,3.45,NA,"W",96.7666666666667,2
"17",2007,17,"2/3/2008",19,30.184,"NWE","NYG","L 14-17","*",29,48,60.42,266,1,0,82.5,5,37,5.54,5.96,NA,"L",96.7666666666667,2
"18",2009,18,"1/10/2010",17,32.16,"NWE","BAL","L 14-33","*",23,42,54.76,154,2,3,49.1,3,22,3.67,1.4,NA,"L",49.1,2
"19",2010,19,"1/16/2011",17,33.166,"NWE","NYJ","L 21-28","*",29,45,64.44,299,2,1,89,5,40,6.64,6.53,NA,"L",89,2
