"","BradyPasserRating","PointsFor","PointsAgainst","PointsDifferential","MarginOfVictory","StrenghOfSchedule","SimpleRatingSystem","OffSimpleRatingSys","DefSimpleRatingSys","Yards","Plays","YardsPerPlay","Turnovers","FumblesLost","FirstDowns","PassCompletions","PassAttempts","PassYards","PassTouchdowns","PassInterceptions","NetYardsPerPass","PassFirstDowns","RushAttempts","RushYards","RushTouchdowns","RushYardsPerAttempt","RushFirstDowns","Penalties","PenaltyYards","PenaltyFirstDowns","NumberDrives","DriveScorePercent","DriveTurnoverPercent","AvgStartingPosition","AvgDriveTime","AvgDrivePlays","AvgDriveYards","AvgDrivePoints","TotalWins"
"1",86.5,371,272,99,6.2,-1.9,4.3,1.2,3.1,4882,1001,4.9,28,13,292,306,482,3089,21,15,5.9,163,473,1793,15,3.8,101,92,802,28,185,32.4,14.6,32.6,0.111805556,5.57,26.2,1.75,15
"2",85.7,381,346,35,2.2,1.8,4,2.1,1.9,5085,1031,4.9,24,10,304,374,605,3577,28,14,5.6,184,395,1508,9,3.8,99,108,895,21,185,34.6,11.9,33.8,0.105555556,5.74,27.3,1.84,9
"3",85.9,348,238,110,6.9,0.1,6.9,2.1,4.9,5039,1042,4.8,24,11,294,320,537,3432,23,13,6,177,473,1607,9,3.4,91,111,998,26,204,27.9,11.3,33.3,0.103472222,5.27,24.6,1.47,18
"4",92.6,437,260,177,11.1,1.8,12.8,6.4,6.5,5722,1035,5.5,27,13,344,293,485,3588,29,14,7,193,524,2134,15,4.1,120,101,822,31,178,42.1,14.6,31.4,0.117361111,6.01,32.1,2.25,18
"5",92.3,379,338,41,2.6,0.6,3.1,3.7,-0.5,5632,1031,5.5,24,9,334,352,564,4120,28,15,7,204,439,1512,16,3.4,101,110,921,29,184,34.8,13,30,0.109722222,5.74,30.6,2,11
"6",87.9,385,237,148,9.3,1,10.2,4.3,5.9,5369,1055,5.1,27,15,330,326,527,3400,25,12,6.1,181,499,1969,20,3.9,121,98,940,28,189,34.4,13.8,32.6,0.111111111,5.72,28.5,1.98,14
"7",117.2,589,274,315,19.7,0.4,20.1,15.9,4.2,6580,1058,6.2,15,6,393,403,586,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,167,52.7,7.8,32.3,0.129861111,6.48,39.3,3.19,19
"8",83.9,410,309,101,6.3,-2.4,3.9,2.3,1.6,5847,1095,5.3,21,10,356,339,534,3569,21,11,6.1,186,513,2278,21,4.4,145,57,501,25,174,44.8,11.5,33.3,0.124305556,6.52,33.5,2.31,11
"9",96.2,427,285,142,8.9,2.3,11.2,6.7,4.5,6357,1076,5.9,22,9,373,390,592,4436,28,13,7.3,222,466,1921,19,4.1,114,81,743,37,178,41,12.4,30,0.123611111,6.22,35.7,2.29,10
"10",111,518,313,205,12.8,2.6,15.4,12.6,2.8,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,166,47,5.4,32.1,0.118055556,6.09,35,2.76,15
"11",105.6,513,342,171,10.7,-1.4,9.3,9.4,-0.1,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4,107,87,815,30,180,47.2,8.3,39.3,0.10625,6.19,37.9,2.68,16
"12",98.7,557,331,226,14.1,-1.4,12.8,12.2,0.5,6846,1191,5.7,16,7,444,402,641,4662,34,9,7,256,523,2184,25,4.2,151,97,840,37,185,48.1,8.1,38.4,0.111111111,6.63,37,2.74,14
"13",87.3,444,338,106,6.6,-0.7,5.9,4.5,1.4,6152,1138,5.4,20,9,378,380,628,4087,25,11,6.1,225,470,2065,19,4.4,110,69,625,43,201,40.8,10,30,0.100694444,5.87,30.6,2.1,14
"14",97.4,468,313,155,9.7,1.3,10.9,7.5,3.5,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,1080,37,181,45.3,7.2,30.6,0.109027778,6.13,32.3,2.4,16
"15",102.2,465,315,150,9.4,-2.4,7,5.3,1.7,5991,1050,5.7,14,7,348,404,629,4587,36,7,6.9,230,383,1404,14,3.7,87,96,860,31,192,43.2,5.7,30.1,0.104861111,5.66,31.2,2.34,14
"16",112.2,441,250,191,11.9,-2.7,9.3,4.3,5,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,39,182,42.9,4.9,30.9,0.114583333,6.02,33.9,2.41,18
"17",102.8,458,296,162,10.1,-1.2,8.9,6.3,2.6,6307,1070,5.9,12,4,389,389,587,4418,32,8,7.1,232,448,1889,16,4.2,107,95,835,50,174,49.4,6.9,28.5,0.117361111,6.38,36.1,2.61,16
"18",97.7,436,325,111,6.9,-1.8,5.2,3.1,2.1,6295,1073,5.9,18,7,365,378,574,4258,29,11,7.2,206,478,2037,18,4.3,131,93,744,28,184,40.8,9.2,29.9,0.1125,6.05,34.2,2.27,15
