Year,RegSeasonWins,BradyPasserRating,PointsFor,PointsAgainst,PointsDifferential,MarginOfVictory,StrengthOfSchedule,SimpleRatingSystem,OffSimpleRatingSys,DefSimpleRatingSys,Yards,Plays,YardsPerPlay,Turnovers,FumblesLost,FirstDowns,PassCompletions,PassAttempts,CompletionPercentage,PassYards,PassTouchdowns,PassInterceptions,NetYardsPerPass,PassFirstDowns,RushAttempts,RushYards,RushTouchdowns,RushYardsPerAttempt,RushFirstDowns,Penalties,PenaltyYards,PenaltyFirstDowns,NumberDrives,DriveScorePercent,DriveTurnoverPercent,AvgStartingPosition,AvgDriveTime,AvgDrivePlays,AvgDriveYards,AvgDrivePoints,OppPointsFor,OppYards,OppPlays,OppYardsPerPlay,OppTurnovers,OppFumblesLost,OppFirstDowns,OppPassCompletions,OppPassAttempts,OppPassYards,OppPassTouchdowns,OppPassInterceptions,OppNetYardsPerPass,OppPassFirstDowns,OppRushAttempts,OppRushYards,OppRushTouchdowns,OppRushYardsPerAttempt,OppRushFirstDowns,OppPenalties,OppPenaltyYards,OppPenaltyFirstDowns,OppNumberDrives,OppDriveScorePercent,OppDriveTurnoverPerent,OppAvgStartingPosition,OppAvgDriveTime,OppAvgDrivePlays,OppAvgDriveYards,OppAvgDrivePoints,PlayoffWins,MadeSuperBowl
2001,11,86.5,371,272,99,6.2,-1.9,4.3,1.2,3.1,4882,1001,4.9,28,13,292,306,482,0.634854772,3089,21,15,5.9,163,473,1793,15,3.8,101,92,802,28,185,32.4,14.6,32.6,0.111805556,5.57,26.2,1.75,272,5352,1016,5.3,35,13,303,299,546,3497,15,22,6,171,429,1855,7,4.3,99,93,839,33,188,27.7,17.6,29.8,0.104861111,5.6,28.4,1.3,4,YES
2002,9,85.7,381,346,35,2.2,1.8,4,2.1,1.9,5085,1031,4.9,24,10,304,374,605,0.618181818,3577,28,14,5.6,184,395,1508,9,3.8,99,108,895,21,185,34.6,11.9,33.8,0.105555556,5.74,27.3,1.84,346,5377,1032,5.2,29,11,315,314,531,3179,23,18,5.6,158,467,2198,17,4.7,129,99,928,28,187,32.1,15.5,31,0.110416667,5.7,28.8,1.82,0,NO
2003,14,85.9,348,238,110,6.9,0.1,6.9,2.1,4.9,5039,1042,4.8,24,11,294,320,537,0.595903166,3432,23,13,6,177,473,1607,9,3.4,91,111,998,26,204,27.9,11.3,33.3,0.103472222,5.27,24.6,1.47,238,4666,1060,4.4,41,12,293,328,618,3232,11,29,4.9,177,401,1434,10,3.6,91,107,845,25,200,23,19.5,30.6,0.099305556,5.5,23.5,1.11,4,YES
2004,14,92.6,437,260,177,11.1,1.8,12.8,6.4,6.5,5722,1035,5.5,27,13,344,293,485,0.604123711,3588,29,14,7,193,524,2134,15,4.1,120,101,822,31,178,42.1,14.6,31.4,0.117361111,6.01,32.1,2.25,260,4972,988,5,36,16,290,315,538,3400,18,20,5.8,177,405,1572,9,3.9,83,118,1014,30,175,24,20,30.8,0.109027778,5.8,28.4,1.34,4,YES
2005,10,92.3,379,338,41,2.6,0.6,3.1,3.7,-0.5,5632,1031,5.5,24,9,334,352,564,0.624113475,4120,28,15,7,204,439,1512,16,3.4,101,110,921,29,184,34.8,13,30,0.109722222,5.74,30.6,2,338,5283,997,5.3,18,8,306,296,527,3703,25,10,6.6,179,437,1580,11,3.6,94,132,1068,33,182,33,9.3,29,0.109027778,5.6,29,1.78,1,NO
2006,12,87.9,385,237,148,9.3,1,10.2,4.3,5.9,5369,1055,5.1,27,15,330,326,527,0.618595825,3400,25,12,6.1,181,499,1969,20,3.9,121,98,940,28,189,34.4,13.8,32.6,0.111111111,5.72,28.5,1.98,237,4710,950,5,35,13,264,294,518,3203,10,22,5.7,164,388,1507,11,3.9,67,102,918,33,182,23.6,18.7,28.6,0.104166667,5.4,25.7,1.17,2,NO
2007,16,117.2,589,274,315,19.7,0.4,20.1,15.9,4.2,6580,1058,6.2,15,6,393,403,586,0.687713311,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,167,52.7,7.8,32.3,0.129861111,6.48,39.3,3.19,274,4613,933,4.9,31,12,278,314,526,3041,23,19,5.3,172,360,1572,7,4.4,91,96,764,15,175,24,16.6,27,0.104166667,5.4,26.3,1.41,3,YES
2008,11,83.9,410,309,101,6.3,-2.4,3.9,2.3,1.6,5847,1095,5.3,21,10,356,339,534,0.634831461,3569,21,11,6.1,186,513,2278,21,4.4,145,57,501,25,174,44.8,11.5,33.3,0.124305556,6.52,33.5,2.31,309,4944,920,5.4,22,8,268,288,474,3222,27,14,6.4,176,415,1722,8,4.1,78,81,636,14,170,30.6,12.9,27.8,0.109722222,5.5,29.1,1.74,0,NO
2009,10,96.2,427,285,142,8.9,2.3,11.2,6.7,4.5,6357,1076,5.9,22,9,373,390,592,0.658783784,4436,28,13,7.3,222,466,1921,19,4.1,114,81,743,37,178,41,12.4,30,0.123611111,6.22,35.7,2.29,285,5123,941,5.4,28,10,289,300,512,3355,25,18,6.2,193,398,1768,6,4.4,80,91,780,16,179,25.1,14,27.4,0.101388889,5.4,28.4,1.45,0,NO
2010,14,111,518,313,205,12.8,2.6,15.4,12.6,2.8,5820,986,5.9,10,5,335,331,507,0.652859961,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,166,47,5.4,32.1,0.118055556,6.09,35,2.76,313,5864,1056,5.6,38,13,348,388,611,4136,25,25,6.4,226,409,1728,10,4.2,99,84,687,23,176,30.7,21,28.2,0.11875,6.1,33.2,1.72,1,NO
